year,date_start,date_end,question,tag,question_number,category,sub_sample,response,percent,unweighted n,number_respondents,m_o_e,poll,Comments
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,total,total,good job,22,1489,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,total,total,poor job,43,1489,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,total,total,not sure,35,1489,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,gender,male,good job,22,707,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,gender,male,poor job,49,707,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,gender,male,not sure,29,707,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,gender,female,good job,23,782,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,gender,female,poor job,37,782,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,gender,female,not sure,40,782,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,race/gender/education,white men no degree,good job,20,323,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,race/gender/education,white men no degree,poor job,52,323,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,race/gender/education,white men no degree,not sure,28,323,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,race/gender/education,white men college grad,good job,21,178,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,race/gender/education,white men college grad,poor job,59,178,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,race/gender/education,white men college grad,not sure,20,178,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,race/gender/education,white women no degree,good job,19,338,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,race/gender/education,white women no degree,poor job,37,338,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,race/gender/education,white women no degree,not sure,44,338,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,race/gender/education,white women college grad,good job,24,209,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,race/gender/education,white women college grad,poor job,40,209,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,race/gender/education,white women college grad,not sure,36,209,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,race,white,good job,21,1048,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,race,white,poor job,47,1048,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,race,white,not sure,32,1048,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,race,black,good job,30,190,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,race,black,poor job,27,190,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,race,black,not sure,43,190,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,race,hispanic,good job,25,149,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,race,hispanic,poor job,38,149,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,race,hispanic,not sure,37,149,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,race,other,good job,,,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,race,other,poor job,,,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,race,other,not sure,,,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,age,18-29,good job,24,279,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,age,18-29,poor job,37,279,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,age,18-29,not sure,39,279,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,age,30-44,good job,26,318,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,age,30-44,poor job,32,318,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,age,30-44,not sure,42,318,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,age,45-64,good job,21,539,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,age,45-64,poor job,50,539,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,age,45-64,not sure,29,539,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,age,65+,good job,21,353,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,age,65+,poor job,49,353,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,age,65+,not sure,31,353,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,income,under $50K,good job,23,634,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,income,under $50K,poor job,40,634,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,income,under $50K,not sure,37,634,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,income,$50-100K,good job,22,396,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,income,$50-100K,poor job,48,396,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,income,$50-100K,not sure,31,396,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,income,$100K+,good job,22,276,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,income,$100K+,poor job,48,276,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,income,$100K+,not sure,31,276,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,region,northeast,good job,26,260,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,region,northeast,poor job,38,260,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,region,northeast,not sure,36,260,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,region,midwest,good job,21,309,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,region,midwest,poor job,45,309,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,region,midwest,not sure,34,309,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,region,south,good job,22,556,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,region,south,poor job,43,556,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,region,south,not sure,35,556,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,region,west,good job,22,364,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,region,west,poor job,44,364,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,region,west,not sure,34,364,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,registered,registered voter,good job,23,1182,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,registered,registered voter,poor job,46,1182,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,registered,registered voter,not sure,31,1182,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,2020 vote,biden,good job,37,528,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,2020 vote,biden,poor job,24,528,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,2020 vote,biden,not sure,40,528,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,2020 vote,trump,good job,9,471,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,2020 vote,trump,poor job,72,471,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,2020 vote,trump,not sure,19,471,1500,2.6,Economist/YouGov,
2021,2/27/2021,3/2/2021,Do you think the United Nations is doing a good job or a poor job in trying to solve the problems it has had to face?,UN approval,10,party id,democrat,good job,38,528,1500,2.6,Economist/YouGov,
